,class,name,training_label
0,LUNG_CANCER,945,2
1,LUNG_CANCER,730_0,-1
2,LUNG_CANCER,211,0
3,LUNG_CANCER,125_2,3
4,LUNG_CANCER,66_0,3
5,LUNG_CANCER,472,4
6,LUNG_CANCER,629_0,4
7,LUNG_CANCER,979_2,4
8,LUNG_CANCER,740,3
9,LUNG_CANCER,219_1,2
10,LUNG_CANCER,289_1,1
11,LUNG_CANCER,696,4
12,LUNG_CANCER,574_0,2
13,LUNG_CANCER,41,-1
14,LUNG_CANCER,452,2
15,LUNG_CANCER,137_1,3
16,LUNG_CANCER,248_1,0
17,LUNG_CANCER,896,3
18,LUNG_CANCER,217_1,0
19,LUNG_CANCER,64,3
20,LUNG_CANCER,350,-1
21,LUNG_CANCER,493_0,-1
22,LUNG_CANCER,693_1,2
23,LUNG_CANCER,11_0,0
24,LUNG_CANCER,238,1
25,LUNG_CANCER,368_1,4
26,LUNG_CANCER,406_0,0
27,LUNG_CANCER,246,1
28,LUNG_CANCER,62_1,3
29,LUNG_CANCER,425_0,3
30,LUNG_CANCER,393_1,4
31,LUNG_CANCER,214_0,1
32,LUNG_CANCER,345_0,2
33,LUNG_CANCER,174_1,4
34,LUNG_CANCER,66,-1
35,LUNG_CANCER,445_0,1
36,LUNG_CANCER,414,4
37,LUNG_CANCER,721_1,4
38,LUNG_CANCER,338_0,1
39,LUNG_CANCER,11_2,1
40,LUNG_CANCER,36,4
41,LUNG_CANCER,398_0,0
42,LUNG_CANCER,360_2,2
43,LUNG_CANCER,692_0,3
44,LUNG_CANCER,770_2,1
45,LUNG_CANCER,398,4
46,LUNG_CANCER,551_0,4
47,LUNG_CANCER,596_1,0
48,LUNG_CANCER,495_0,2
49,LUNG_CANCER,959_1,3
50,LUNG_CANCER,399_0,3
51,LUNG_CANCER,662_0,4
52,LUNG_CANCER,286,2
53,LUNG_CANCER,563,3
54,LUNG_CANCER,180,0
55,LUNG_CANCER,693_0,2
56,LUNG_CANCER,5_2,4
57,LUNG_CANCER,818_2,2
58,LUNG_CANCER,211_0,-1
59,LUNG_CANCER,870_1,4
60,LUNG_CANCER,523_2,0
61,LUNG_CANCER,246_0,4
62,LUNG_CANCER,948_1,4
63,LUNG_CANCER,692_1,1
64,LUNG_CANCER,525_1,3
65,LUNG_CANCER,895_1,1
66,LUNG_CANCER,935_2,3
67,LUNG_CANCER,835,1
68,LUNG_CANCER,677_2,2
69,LUNG_CANCER,422,3
70,LUNG_CANCER,64_0,2
71,LUNG_CANCER,769_2,-1
72,LUNG_CANCER,500_2,1
73,LUNG_CANCER,818,1
74,LUNG_CANCER,836_1,2
75,LUNG_CANCER,662_1,2
76,LUNG_CANCER,217,3
77,LUNG_CANCER,692_2,1
78,LUNG_CANCER,887_1,3
79,LUNG_CANCER,874_1,4
80,LUNG_CANCER,571_1,-1
81,LUNG_CANCER,836_0,1
82,LUNG_CANCER,36_0,3
83,LUNG_CANCER,989_2,4
84,LUNG_CANCER,338,3
85,LUNG_CANCER,777_2,3
86,LUNG_CANCER,975,3
87,LUNG_CANCER,458_1,-1
88,LUNG_CANCER,829,3
89,LUNG_CANCER,601_1,4
90,LUNG_CANCER,788_1,1
91,LUNG_CANCER,740_0,-1
92,LUNG_CANCER,857_2,3
93,LUNG_CANCER,2_0,1
94,LUNG_CANCER,62_2,4
95,LUNG_CANCER,521_1,2
96,LUNG_CANCER,857,0
97,LUNG_CANCER,438,4
98,LUNG_CANCER,279,0
99,LUNG_CANCER,727_1,-1
