,pred,true,pred prob
0,0,0,"[0.9999983310699463, 4.1395571415137056e-09, 1.716183646749414e-06, 8.62352689257051e-10]"
1,0,0,"[0.9999735355377197, 1.996255923586432e-05, 4.285043360141572e-06, 2.162219516321784e-06]"
2,1,1,"[4.530865904683878e-09, 0.9999998807907104, 2.435155010971357e-08, 1.6846277617332817e-07]"
3,0,0,"[0.9999920129776001, 1.4148295868210425e-08, 8.0214213085128e-06, 4.597554004170945e-10]"
4,0,0,"[0.9999990463256836, 2.812450077271933e-07, 4.2737434569062316e-07, 1.817172545770518e-07]"
5,0,0,"[0.9999998807907104, 9.346305773760832e-08, 1.3921830799290547e-08, 5.0078241997653095e-08]"
6,1,1,"[2.085881156688174e-08, 0.9999849796295166, 1.4070979887037538e-05, 9.021032383316197e-07]"
7,3,3,"[1.9251589037594385e-05, 0.00011329547851346433, 4.696985023144862e-09, 0.99986732006073]"
8,1,1,"[3.279025406754954e-08, 0.9999415874481201, 1.4811155324423453e-07, 5.811674054712057e-05]"
9,3,3,"[6.394492491068604e-09, 2.2961621652939357e-06, 9.416785928806348e-08, 0.999997615814209]"
10,1,1,"[1.0099893366088963e-08, 0.9999914169311523, 4.430729561022417e-08, 8.555919521313626e-06]"
11,1,1,"[2.589441919553792e-06, 0.9999951124191284, 5.653131851524051e-10, 2.3010097720543854e-06]"
12,1,1,"[2.4359713279409334e-05, 0.9999538660049438, 3.6183696039415736e-08, 2.167498678318225e-05]"
13,1,1,"[1.506016644725605e-08, 0.9999988079071045, 3.1873815942162764e-07, 8.384795364690945e-07]"
14,2,2,"[4.6365347117216515e-08, 1.1857009667437524e-06, 0.9999728202819824, 2.6044333935715258e-05]"
15,0,0,"[0.999991774559021, 4.4795484654969187e-08, 8.204197911254596e-06, 1.1173385772167421e-08]"
16,3,3,"[3.5479253313042136e-08, 6.051977106835693e-05, 2.8900671168230474e-05, 0.9999104738235474]"
17,0,0,"[0.999991774559021, 5.502199201146141e-06, 5.412199470811174e-07, 2.1437429040815914e-06]"
18,3,3,"[2.569041368527536e-10, 1.9595778212533332e-05, 2.064632411702405e-07, 0.9999802112579346]"
19,3,3,"[1.176238470179669e-06, 2.9002028441027505e-06, 1.1394765131456097e-08, 0.9999959468841553]"
20,3,3,"[1.0465850408536426e-09, 1.143520694313338e-05, 2.688322183530545e-06, 0.9999858140945435]"
21,0,0,"[0.9998891353607178, 1.0830198959865811e-08, 0.00011084590369137004, 1.0331232758176156e-08]"
22,0,0,"[0.9999865293502808, 6.335575108096236e-06, 7.146603820729069e-06, 3.399228631906226e-08]"
23,2,2,"[5.949442716257636e-09, 2.4069646542557166e-07, 0.9999997615814209, 9.127419930976544e-10]"
24,2,2,"[0.00024450637283734977, 8.177702511602547e-06, 0.9997469782829285, 3.1009753342914337e-07]"
25,0,0,"[0.9999995231628418, 3.990995196545555e-07, 4.414828058685316e-09, 2.6869184210909225e-08]"
26,0,0,"[0.9999939203262329, 1.7476168290286864e-09, 6.119999397924403e-06, 8.523921124492517e-09]"
27,2,2,"[1.9963372621667475e-10, 0.00022807395725976676, 0.9997718930244446, 9.905681963573443e-08]"
28,2,2,"[9.125992739278388e-10, 1.628980186296758e-07, 0.9999997615814209, 1.8187229500199464e-08]"
29,2,2,"[1.2323936289249104e-06, 6.589589702343801e-06, 0.999984622001648, 7.542532785009826e-06]"
30,1,1,"[2.949915645089618e-09, 0.9999997615814209, 8.63927098748718e-08, 8.159146602793044e-08]"
31,3,3,"[3.7128218082216335e-06, 2.0593090084730648e-05, 8.242469630204141e-05, 0.9998931884765625]"
32,0,0,"[0.9998666048049927, 6.011144648709887e-08, 0.00013328126806300133, 3.962573913440792e-08]"
33,3,3,"[1.3018621757510118e-05, 1.1060968972742558e-05, 6.2232167692855e-05, 0.9999136924743652]"
34,2,2,"[4.0293724623552407e-07, 1.7382653538788873e-07, 0.9999995231628418, 4.0853853633393555e-09]"
35,0,0,"[0.9999998807907104, 2.7586448680949616e-08, 7.855572192738691e-09, 5.677195957787262e-08]"
36,2,2,"[8.507979876171134e-10, 6.615625807171455e-07, 0.9999992847442627, 6.193336332671606e-08]"
37,0,0,"[0.9999321699142456, 4.46619969807216e-06, 2.040238314293674e-06, 6.138803291833028e-05]"
38,2,2,"[2.1627155621928296e-09, 8.474429705529474e-06, 0.9999915361404419, 4.57894273608872e-08]"
39,1,1,"[1.4715702434386913e-07, 0.9999886751174927, 6.321882210613694e-06, 4.9168424993695226e-06]"
40,2,2,"[1.4649933488541933e-09, 3.5350308280612808e-06, 0.9999964237213135, 8.088432679187463e-08]"
